"Branch Name";"Swift Code"
"BFT – BANQUE DE FINANCEMENT ET DE TRESORERIE SA – PARIS";"BFTRFRPPGES"
"BGFI INTERNATIONAL – PARIS";"BGFIFRPPXXX"
"BLOM BANK FRANCE – PARIS";"BLOMFRPPXXX"
"BM SOFTWARE – NICE";"BMSOFR22XXX"
"BOISSIERE FINANCE – RUEIL MALMAISON";"SCHNFR22XXX"
"BONNA SABLA SA – PARIS";"BONAFRPPXXX"
"BOURSE DIRECT SA – PARIS";"BDIRFRPPXXX"
"BOURSORAMA – BOULOGNE BILLANCOURT";"BOUSFRPPXXX"
"BOX AND AUTOMATION SOLUTION – PARIS";"BOXXFRPPXXX"
"BPCE – PARIS";"BPCEFRPPXXX"
"BRED BANQUE POPULAIRE – PARIS";"BREDFRPPXXX"
"BRED BANQUE POPULAIRE – PARIS";"BREDFRPP637"
"BRED BANQUE POPULAIRE – PARIS";"BREDFRPP638"
"BRED BANQUE POPULAIRE – PARIS";"BREDFRPPFDF"
"BRED BANQUE POPULAIRE – PARIS";"BREDFRPPKUS"
"BRED BANQUE POPULAIRE – PARIS";"BREDFRPPTRE"
"BRED GESTION – PARIS";"BRGEFRPPXXX"
"BSI-IFABANQUE SA – PARIS";"IFABFRPPXXX"
"BYBLOS BANK EUROPE S.A. (PARIS BRANCH) – PARIS";"BYBBFRPPXXX"
"CACEIS BANK – PARIS";"ISAEFRPPXXX"
"CACEIS BANK – PARIS";"ISAEFRPPMID"
"CAISSES D’EPARGNE PARTICIPATIONS – PARIS";"HLCEFRPPXXX"
"CAIXA D’ESTALVIS DE CATALUNYA – PERPIGNAN";"CESCFR2XXXX"
"CAIXA GERAL DE DEPOSITOS – PARIS";"CGDIFRPPXXX"
"CAP GEMINI SERVICE SAS – PARIS";"CAPGFRPPXXX"
"CASDEN-BANQUE POPULAIRE – NOISIEL";"CCBPFRPPCAS"
"CHOLET DUPONT SA – PARIS";"CHDUFRPPXXX"
"CIB FINANCE – PARIS";"CIBRFRPPXXX"
"CLF BANQUE – PARIS";"CLBQFRCCXXX"
"CM – CIC BANQUES – PARIS";"CMCIFRPPXXX"
